The Which Witch Quiz,https://www.wizardingworld.com/quiz/which-witch-quiz,10,Which witch said: “I assert our inalienable right to party”?,Seraphina Picquery(False);Millicent Bagnold(True);Celestina Warbeck(False);Nymphadora Tonks(False);,In the book&#44 Prisoner of Azkaban&#44 which witch kept letting herself get ‘caught’ during the Witch Trials?,Miranda Goshawk(False);Ottaline Gambon(False);Wendelin the Weird(True);Bridget Wenlock(False);,Which witch (who was Minister for Magic) was good friends with Queen Victoria?,Josephina Flint(False);Priscilla Dupont(False);Hermione Granger(False);Evangeline Orpington(True);,Which of these witches was a Ravenclaw student during Harry’s time at Hogwarts?,Hannah Abbott(False);Daphne Greengrass(False);Marietta Edgecombe(True);Susan Bones(False);,Which witch was a captain of the Holyhead Harpies?,Gertie Keddle(False);Minerva McGonagall(False);Gwenog Jones(True);Ginny Weasley(False);,Which witch invented Floo Powder?,Ignatia Wildsmith(True);Fleamont Potter(False);Eupraxia Mole(False);Mary Jauncey(False);,Which witch was Sirius Black’s mother?,Callidora Black(False);Isla Black(False);Bellatrix Black(False);Warburga Black(True);,Which witch became Hogwarts headmistress in Harry Potter and the Order of the Phoenix?,Minerva McGonagall(False);Dolores Umbridge(True);Irma Pince(False);Pomona Sprout(False);,Which witch was a Metamorphmagus?,Rowena Ravenclaw(False);Queenie Goldstein(False);Madam Maxime(False);Nymphadora Tonks(True);,Which witch wrote 'A History of Magic'?,Bathilda Bagshot(True);Cassandra Vablatsky(False);Rita Skeeter(False);Miranda Goshawk(False);,
The First Year Hogwarts Houses Quiz,https://www.wizardingworld.com/quiz/the-first-year-hogwarts-houses-quiz,10,Which Hogwarts house has the mascot of a lion?,Gryffindor(True);Slytherin(False);Hufflepuff(False);Ravenclaw(False);,Which Hogwarts house has a badger for its mascot?,Slytherin(False);Hufflepuff(True);Ravenclaw(False);Gryffindor(False);,Which Hogwarts house has blue as one of its colours,Gryffindor(False);Slytherin(False);Hufflepuff(False);Ravenclaw(True);,Which Hogwarts house has green as one of its colours?,Gryffindor(False);Slytherin(True);Ravenclaw(False);Hufflepuff(False);,Who is head of Gryffindor house?,Professor Flitwick(False);Professor Dumbledore(False);Professor Sprout(False);Professor McGonagall(True);,Who is the head of Ravenclaw house?,Professor Flitwick(True);Professor Snape(False);Professor Quirrell(False);Professor Sprout(False);,Which Hogwarts house has its common room in the dungeons?,Hufflepuff(False);Ravenclaw(False);Gryffindor(False);Slytherin(True);,What is the name of the Gryffindor house ghost?,The Bloody Baron(False);The Grey Lady(False);Nearly Headless Nick(True);The Fat Friar(False);,What is the name of the Hufflepuff house ghost?,The Bloody Baron(False);Moaning Myrtle(False);The Grey Lady(False);The Fat Friar(True);,Which Hogwarts house did Harry ask the Sorting Hat NOT to be sorted into?,Slytherin(True);Hufflepuff(False);Ravenclaw(False);Gryffindor(False);,
Complete the quote quiz: Ron edition,https://www.wizardingworld.com/quiz/complete-quote-ron-weasley,10,Complete the film quote: “Why spiders? Why couldn’t it be follow the ______?”,puppies(False);stars(False);butterflies(True);rainbow(False);,Complete the quote:  “Sunshine&#44 daisies&#44 butter mellow&#44 Turn this stupid&#44 fat rat _____”?,blue(False);jello(False);yellow(True);hollow(False);,Finish the line that Ron wrote to Harry: “Don’t let the Muggles _____!” in a letter.,get you down(True);mess you around(False);call you a clown(False);see you frown(False);,Fill in the blank: “If you want to kill Harry&#44 you’ll have to kill ____ too!”,us(True);me(False);him(False);them(False);,Complete the quote: “One person can’t feel all that at once&#44 they’d ______.”,explode(True);burst into flame(False);disapparate(False);collapse(False);,Complete the quote: “Can you believe our luck?” … “Of all the ____ we could’ve hit&#44 we had to get one that hits back.”,buildings(False);plants(False);trees(True);cars(False);,Fill in the blank: “All she wants to do is snog me. My ______________ “,lips are falling off(False);mouth is getting dry(False);lips are getting chapped(True);reputation is being ruined(False);,Complete the quote: “You’ll pay for that Malfoy! Eat ____!”,slugs(True);snails(False);maggots(False);worms(False);,Complete Ron’s prediction of Hermione’s Boggart: “A piece of homework that only got _____ out of ten?”,Seven(False);Nine(True);Nine and a half(False);One(False);,Fill in the blank: “Hello&#44 ____&#44 tell us&#44 have you been setting anything mad and hairy loose in the castle lately?”,Malfoy(False);Tom Riddle(False);Hagrid(True);Neville(False);,
The Ultimate Food Quiz,https://www.wizardingworld.com/quiz/the-ultimate-food-quiz,15,What did Aunt Petunia make Harry cook for Dudley’s birthday in Philosopher’s Stone?,Bacon and sausages(False);Fried eggs and bacon(True);Baked beans and sausages(False);Fried bread and sausages(False);,In the book&#44 what colour icing did Hagrid use on Harry’s birthday cake in Philosopher’s Stone?,Blue(False);Purple(False);Yellow(False);Green(True);,What kind of sandwiches did Mrs Weasley give Ron for his first ever Hogwarts Express journey?,Corned beef(True);Turkey(False);Egg Mayo(False);Bacon(False);,What was Harry’s favourite dessert at Hogwarts?,Chocolate fudge cake(False);Rock cakes(False);Raspberry trifle(False);Treacle tart(True);,What were the peas at Hogwarts served in?,Goblets(False);Gravy(False);Bowls(False);Tureens(True);,What type of magical being worked in the Hogwarts kitchens?,Cornish Pixie(False);Goblin(False);Banshee(False);House-elf(True);,The door to the Hogwarts kitchens was hidden behind a painting of what?,The Fat Friar(False);A bowl of fruit(True);Sir Cadogan(False);A lone pear(False);,Why didn’t food appear when occupants of the Room of Requirement were hungry?,Food is infinitely variable and is therefore subject to Tracey’s law of unquantifiable goods(False);Someone wishing for poisoned food is too much of a risk(False);Food is perishable so the Room of Requirement can’t preserve it(False);Food is an exception to Gamp’s Law of Elemental Transfiguration(True);,What flavour ice lolly were the Dursleys forced to buy Harry at London Zoo?,Strawberry(False);Chocolate(False);Orange(False);Lemon(True);,What flavour Bertie Bott’s Every-Flavour Bean does Dumbledore eat at the end of Philosopher’s Stone?,Bogey(False);Earwax(True);Vomit(False);Sardine(False);,In Goblet of Fire&#44 how many birthday cakes did Harry receive to help him survive the diet regime in the Dursley household?,Five(False);Two(False);Four(True);Three(False);,In Order of the Phoenix who ate an Easter egg with Harry in the Hogwarts library?,Ginny(True);Hermione(False);Fred(False);Ron(False);,What kind of food did Hermione fill with a Sleeping Draught in Chamber of Secrets?,Two Cauldron Cakes(False);Two Chocolate Frogs(False);Two chocolate cakes(True);Two Pumpkin Pasties(False);,What was special about the Christmas puddings at Hogwarts?,They floated in mid-air(False);They were enormous(False);They contained a wizard chess piece(False);They were flaming(True);,What was peculiar about the fish at Nearly Headless Nick’s Deathday Party?,They were still alive(False);They were rotten(True);They were ghost fish(False);They were in a tank(False);,
The Arthur and Molly Weasley Quiz,https://www.wizardingworld.com/quiz/arthur-molly-weasley-quiz,10,Where did Molly and Arthur meet?,Quidditch World Cup(False);Ottery St Catchpole(False);Hogsmeade(False);Hogwarts(True);,At what hour of the morning did Molly and Arthur once return from a night-time stroll?,Six in the morning(False);Four in the morning(True);Two in the morning(False);Three in the morning(False);,Who did Molly get a telling-off from back at Gryffindor Tower after a night-time stroll with Arthur?,The Fat Lady(True);Albus Dumbledore(False);Sir Cadogan(False);Nearly Headless Nick(False);,Why did Molly say it was fine for her and Arthur to elope?,They had already taken their N.E.W.T.s(False);They were made for each other(True);They had enough money to live on(False);Their families were wrong about them(False);,How many children did Arthur and Molly have together?,Five(False);Eight(False);Seven(True);Six(False);,Why was Arthur in trouble the first time Harry visited the Burrow in Chamber of Secrets?,He’d punched Lucius Malfoy(False);He’d been spotted riding an escalator on the London Underground(False);He was late home from work(False);He’d enchanted a rusty old car to make it fly(True);,What was Arthur’s affectionate nickname for Molly?,Redcap(False);Freckles(False);Mollywobbles(True);Prew(False);,What song by Celestina Warbeck did Molly and Arthur dance to when they were eighteen?,A Cauldron Full of Hot&#44 Strong Love(True);A Mug Full of Hot&#44 Strong Tea(False);A Vial Full of Hot&#44 Strong Love Potion(False);A Glass Full of Hot&#44 Strong Firewhisky(False);,After Arthur was attacked by Nagini&#44 why did Molly get angry with him at the hospital?,He’d got out of bed(False);He’d tried Muggle stitches(True);He’d taken some Muggle painkillers(False);He’d told Harry about the prophecy(False);,What did Molly know was Arthur’s dearest ambition?,To understand how plugs work(False);To hail a black cab(False);To find out how aeroplanes stay up(True);To become Minister for Magic(False);,
The Magic Gone Wrong Quiz,https://www.wizardingworld.com/quiz/magic-gone-wrong-quiz,10,What animal did Ron Weasley vomit up after a spell meant for Malfoy backfired on him?,Cockroaches(False);Snails(False);Slugs(True);Worms(False);,What plant did Neville accidently transplant his ears onto?,Mandrake(False);Devil's Snare(False);Mimbulus mimbletonia(False);Cactus(True);,Which spell did Gilderoy Lockhart use to try to repair Harry’s broken arm?,Episkey(False);Vulnera Sanetur(False);Reparo(False);Brackium Emendo(True);,At what age did Ariana Dumbledore cause a magical explosion that killed her mother?,14(True);15(False);12(False);17(False);,Which body part did Susan Bones leave behind in her first Apparition lesson?,Her foot(False);Her arm(False);Her leg(True);Her nose(False);,Which spell backfired on Lord Voldemort when he tried to use it on baby Harry Potter?,Expelliarmus(False);Avada Kedavra(True);Crucio(False);Imperio(False);,Who accidentally vanished one of the legs of their desk?,Seamus Finnigan(False);Ron Weasley(False);Lavender Brown(False);Neville Longbottom(True);,Which professor was hit on the head by Ron’s broken wand?,Professor McGonagall(False);Professor Snape(False);Professor Flitwick(True);Professor Dumbledore(False);,Which potion-gone-wrong resulted in Hermione becoming a cat?,Confusing Concoction(False);Felix Felicis(False);Pepperup Potion(False);Polyjuice Potion(True);,Why did Ron fail his apparition test in Half-Blood Prince?,He left an elbow behind(False);He splinched away his upper arm(False);He left half of an eyebrow behind(True);He accidentally apparated out Hogwarts(False);,
The Gilderoy Lockhart Quiz,https://www.wizardingworld.com/quiz/the-gilderoy-lockhart-quiz,15,What is the Lockhart book Molly Weasley used for dealing with garden gnomes?,Gilderoy Lockhart’s Guide to Pesky Pets(False);Gilderoy Lockhart’s Guide to Gardening(False);Gilderoy Lockhart’s Guide to Household Pests(True);Gilderoy Lockhart’s Guide to Gnome Nuisance(False);,How many times did Gilderoy Lockhart win Witch Weekly’s Most-Charming-Smile Award?,Four(False);Five(True);Six(False);Three(False);,What was the name of Lockhart’s autobiography?,Marvellous Me(False);My Magical Autobiography(False);Me? I’m Magical(False);Magical Me(True);,What house was Lockhart in?,Ravenclaw(True);Hufflepuff(False);Gryffindor(False);Slytherin(False);,What were Lockhart’s secret ambitions?,Rid the world of evil&#44 and market his own range of hair-care potions(True);Achieve harmony between magic and non-magic peoples and design a clothing range(False);To become Hogwarts Headmaster and get his portrait on the wall(False);Ensure the eradication of all Dark Magic&#44 and release his own aftershave(False);,Which of these was NOT a Lockhart book required by second-year students?,Break with a Banshee(False);Holidays with Hags(False);Visits with Vampires(True);Travels with Trolls(False);,How many people sent Lockhart a card for Valentine’s Day in Chamber of Secrets?,61(False);12(False);46(True);84(False);,What spell did Lockhart attempt to cast with Ron’s wand&#44 resulting in it rebounding upon him?,Expelliarmus(False);Protego(False);Obliviate(True);Stupefy(False);,What was Lockhart’s favourite colour?,Lilac(True);Pink(False);Blue(False);Mauve(False);,What creatures did Lockhart bring to Harry’s first lesson?,Sprites(False);Cornish pixies(True);Garden gnomes(False);Leprechauns(False);,Whose address did Harry accidentally blot when responding to Lockhart’s fan mail in Chamber in Secrets?,Sally-Anne Perks(False);Madhari Patel(False);Veronica Smethley(True);Gladys Gudgeon(False);,What organisation was Lockhart an honorary member of?,The Dark Force Defence League(True);The Order of Merlin(False);The International Confederation of Wizards(False);The Wizengamot(False);,What was the composition of Lockhart’s wand?,Holly and unicorn hair(False);Cherry and dragon heartstring(True);Vine and dragon heartstring(False);Ash and unicorn hair(False);,What was the name of the St Mungo’s Ward that became Lockhart’s permanent home after his Memory Charm backfired?,The Dai Llewellyn Ward(False);The Janus Thickey Ward(True);The Dilys Derwent Ward(False);The Urquhart Rackharrow Ward(False);,What time was Gilderoy Lockhart signing copies of his autobiography Magical Me at Flourish and Blotts?,12:00 - 2:00pm(False);1:00 - 5:00pm(False);2:00 - 6:00pm(False);12:30 - 4:30pm(True);,
The First Year Magic Quiz,https://www.wizardingworld.com/quiz/first-year-magic-quiz,10,In which Hogwarts lesson did Professor McGonagall turn a desk into a pig&#44 and back again?,History of Magic(False);Charms(False);Potions(False);Transfiguration(True);,In which Hogwarts lesson did Harry and his friends learn how to make objects fly?,Defence Against the Dark Arts(False);Transfiguration(False);Herbology(False);Charms(True);,What was the spell for making objects fly? Clue: Hermione used it perfectly!,Flyaway Fly(False);Grow wings!(False);Elevarte(False);Wingardium Leviosa(True);,What does the spell&#44 Alohamora do?,It makes objects fly(False);It unlocks things(True);It makes objects vanish(False);It causes an explosion(False);,In which class would Hermione have learned about the deadly plant&#44 Devil’s Snare?,History of Magic(False);Transfiguration(False);Charms(False);Herbology(True);,In which class&#44 taught by Professor Quirrell&#44 did Harry&#44 Ron and Hermione learn about werewolf bites?,Defence Against the Dark Arts(True);Transfiguration(False);Charms(False);Potions(False);,What were the first-years taught to say to their broomsticks to make them jump into their hands?,UP!(True);BROOM!(False);HERE!(False);JUMP!(False);,In which class did the first-years mix ingredients together in a cauldron?,Potions(True);Herbology(False);Defence Against the Dark Arts(False);Charms(False);,Outside of class&#44 who taught Harry the magical game&#44 wizard chess?,Draco Malfoy(False);Ron Weasley(True);Rubeus Hagrid(False);Hermione Granger(False);,What spell did Hermione use on Neville in the Gryffindor common room&#44 which is also known as a full Body-Bind Curse?,Expelliarmus!(False);Lumos!(False);Petrificus Totalus!(True);Halt!(False);,
The First Year Harry Potter Quiz,https://www.wizardingworld.com/quiz/first-year-harry-potter-quiz,10,What does the scar on Harry’s head look like?,The moon(False);A lightning bolt(True);A broomstick(False);An owl(False);,Who tells Harry he’s a wizard?,Hagrid(True);Hermione(False);Dumbledore(False);Uncle Vernon(False);,What is the name of Harry’s snowy owl?,Henry(False);Hermione(False);Helen(False);Hedwig(True);,Which platform at King’s Cross station does the Hogwarts Express leave from?,Nine(False);Ten(False);Seven and a half(False);Nine and three-quarters(True);,Who does Harry sit with on the Hogwarts Express?,Neville(False);Nobody(False);Ron(True);Hermione(False);,Which house is Harry Potter sorted into by the Sorting Hat?,Slytherin(False);Ravenclaw(False);Hufflepuff(False);Gryffindor(True);,Which teacher doesn’t seem to like Harry at all?,Professor Sprout(False);Professor McGonagall(False);Professor Flitwick(False);Professor Snape(True);,Which Quidditch position does Harry play on his house team?,Keeper(False);Seeker(True);Chaser(False);Beater(False);,Which scary creature gets into Hogwarts at Halloween?,A vampire(False);A giant spider(False);A mountain troll(True);A werewolf(False);,How many heads does Fluffy have?,One(False);Five(False);Twelve(False);Three(True);,
The First Year Quidditch Quiz,https://www.wizardingworld.com/quiz/first-year-quidditch-quiz,10,Who teaches Quidditch at Hogwarts?,Hagrid(False);Professor McGonagall(False);Madam Hooch(True);Professor Snape(False);,Who falls off his broom in Harry’s first ever Quidditch lesson?,Dean Thomas(False);Ron Weasley(False);Draco Malfoy(False);Neville Longbottom(True);,Who is the captain of the Gryffindor Quidditch team and first teaches Harry about the game?,Oliver Wood(True);Angelina Johnson(False);Fred Weasley(False);Katie Bell(False);,Why is it a surprise to everyone at Hogwarts that Harry is chosen to play on the Gryffindor Quidditch team?,He hates flying(False);He grew up with Muggles(False);He can’t ride a broom(False);First years aren’t usually allowed(True);,What type of broomstick does Harry receive in Philosopher’s/Sorcerer's Stone?,Nimbus Two Thousand(True);Cleansweep Seven(False);Shooting Star(False);Comet Two Sixty(False);,Which Quidditch position is Harry chosen to play on the Gryffindor house team?,Seeker(True);Keeper(False);Beater(False);Chaser(False);,Fred Weasley is one of the Beaters on the Gryffindor house team&#44 who is the other one?,George Weasley(True);Gregory Goyle(False);Alicia Spinnet(False);Ron Weasley(False);,How do you score a goal in Quidditch?,Throw Snitch through a hoop(False);Throw Bludger through a hoop(False);Throw Quaffle through a hoop(True);Catch the Snitch(False);,Which player’s job is it to catch the Snitch?,Bludger(False);Seeker(True);Chaser(False);Keeper(False);,When Gryffindor play Slytherin in the first Harry Potter book&#44 who wins?,Gryffindor(True);It's a draw(False);Nobody&#44 the match is called off(False);Slytherin(False);,
The First Year Hogwarts Professor Quiz,https://www.wizardingworld.com/quiz/the-first-year-hogwarts-professors-quiz,10,Which Hogwarts professor can transform into a cat?,Professor Binns(False);Professor Sprout(False);Professor McGonagall(True);Professor Flitwick(False);,Who is headmaster when Harry arrives at Hogwarts?,Professor McGonagall(False);Professor Flitwick(False);Professor Dumbledore(True);Rubeus Hagrid(False);,Who at Hogwarts is a ghost and also teaches History of Magic?,The Fat Friar(False);Professor Flitwick(False);Nearly Headless Nick(False);Professor Binns(True);,Which Hogwarts professor teaches Potions in Philosopher’s/Sorcerer's Stone?,Professor Snape(True);Professor McGonagall(False);Professor Sprout(False);Professor Quirrell(False);,Who teaches Harry and his classmates Charms at Hogwarts?,Madam Pomfrey(False);Madam Hooch(False);Professor Dumbledore(False);Professor Flitwick(True);,Who is the Defence Against the Dark Arts teacher in Harry’s first year?,Madam Pince(False);Professor Quirrell(True);Rubeus Hagrid(False);Professor McGonagall(False);,Who teaches Transfiguration at Hogwarts?,Madam Pomfrey(False);Madam Pince(False);Professor McGonagall(True);Professor Dumbledore(False);,Who gives Harry&#44 Hermione&#44 Neville and Draco detention in Philosopher’s/Sorcerer's Stone?,Professor Dumbledore(False);Professor McGonagall(True);Professor Snape(False);Professor Flitwick(False);,Who spends a lot of time in the Hogwarts greenhouses and teaches Herbology?,Professor Sprout(True);Madam Pomfrey(False);Madam Hooch(False);Rubeus Hagrid(False);,Which of the following characters is not a teacher&#44 but works as the Hogwarts librarian?,Rubeus Hagrid(False);Madam Hooch(False);Madam Pomfrey(False);Madam Pince(True);,
